iter	Passed	Remaining
0	149	149610
1	151	75430
2	152	50748
3	154	38439
4	156	31044
5	157	26118
6	159	22592
7	160	19946
8	162	17872
9	164	16252
10	165	14902
11	167	13778
12	169	12839
13	170	12020
14	172	11307
15	174	10703
16	175	10165
17	177	9669
18	178	9239
19	180	8847
20	182	8490
21	183	8178
22	185	7879
23	186	7603
24	188	7356
25	190	7142
26	192	6926
27	193	6724
28	195	6540
29	196	6368
30	198	6205
31	200	6062
32	202	5925
33	203	5794
34	205	5670
35	207	5549
36	208	5428
37	210	5322
38	211	5221
39	213	5117
40	214	5023
41	216	4934
42	218	4852
43	219	4768
44	221	4690
45	222	4617
46	224	4544
47	225	4475
48	227	4408
49	228	4346
50	230	4287
51	232	4230
52	233	4174
53	235	4119
54	236	4065
55	238	4015
56	239	3966
57	241	3916
58	242	3871
59	244	3830
60	245	3786
61	247	3746
62	249	3706
63	250	3668
64	252	3630
65	254	3600
66	255	3563
67	257	3528
68	259	3495
69	260	3463
70	261	3427
71	263	3397
72	265	3369
73	266	3338
74	268	3308
75	269	3281
76	271	3254
77	272	3225
78	274	3200
79	276	3175
80	277	3151
81	279	3126
82	280	3103
83	282	3079
84	283	3056
85	285	3035
86	287	3012
87	287	2981
88	289	2960
89	290	2939
90	292	2919
91	293	2900
92	295	2881
93	297	2864
94	298	2847
95	300	2828
96	302	2811
97	303	2794
98	305	2779
99	306	2761
100	308	2745
101	310	2729
102	311	2714
103	313	2700
104	315	2685
105	316	2670
106	318	2657
107	319	2642
108	321	2626
109	323	2613
110	324	2599
111	326	2587
112	327	2573
113	329	2559
114	331	2547
115	332	2534
116	334	2521
117	335	2510
118	337	2496
119	339	2487
120	340	2474
121	342	2462
122	343	2451
123	345	2440
124	346	2428
125	348	2416
126	350	2406
127	351	2394
128	353	2385
129	354	2374
130	356	2364
131	357	2352
132	359	2341
133	360	2332
134	362	2323
135	364	2313
136	366	2306
137	367	2297
138	369	2287
139	370	2278
140	372	2270
141	374	2260
142	375	2251
143	377	2241
144	378	2233
145	380	2224
146	381	2215
147	383	2207
148	384	2198
149	386	2191
150	388	2183
151	389	2175
152	391	2167
153	393	2161
154	395	2153
155	396	2144
156	398	2137
157	399	2130
158	401	2121
159	402	2113
160	404	2106
161	405	2099
162	407	2091
163	408	2084
164	410	2076
165	411	2069
166	413	2062
167	415	2055
168	416	2048
169	418	2041
170	420	2036
171	421	2029
172	423	2022
173	424	2016
174	426	2009
175	427	2002
176	429	1995
177	430	1989
178	432	1982
179	433	1975
180	435	1969
181	436	1963
182	438	1956
183	439	1951
184	441	1945
185	443	1938
186	444	1932
187	446	1928
188	447	1922
189	449	1916
190	450	1909
191	452	1904
192	454	1898
193	455	1893
194	457	1887
195	458	1882
196	460	1876
197	461	1869
198	463	1864
199	464	1858
200	466	1853
201	467	1848
202	469	1843
203	470	1837
204	472	1832
205	473	1826
206	475	1821
207	477	1816
208	478	1810
209	480	1806
210	481	1800
211	482	1794
212	484	1789
213	486	1785
214	487	1779
215	488	1774
216	490	1769
217	491	1764
218	493	1759
219	494	1754
220	496	1749
221	497	1744
222	499	1740
223	501	1736
224	502	1731
225	504	1727
226	506	1723
227	507	1719
228	509	1714
229	510	1709
230	512	1705
231	513	1701
232	515	1696
233	517	1692
234	518	1687
235	519	1682
236	521	1679
237	523	1675
238	526	1675
239	528	1672
240	530	1670
241	533	1670
242	535	1667
243	537	1665
244	539	1662
245	541	1659
246	543	1655
247	544	1652
248	546	1647
249	548	1646
250	550	1643
251	552	1639
252	554	1635
253	555	1631
254	557	1627
255	558	1623
256	560	1620
257	561	1615
258	563	1611
259	565	1608
260	566	1604
261	567	1599
262	569	1596
263	571	1592
264	572	1588
265	574	1584
266	575	1580
267	577	1576
268	578	1572
269	580	1569
270	582	1566
271	583	1562
272	585	1558
273	587	1555
274	588	1551
275	589	1547
276	591	1543
277	593	1540
278	594	1536
279	596	1533
280	597	1529
281	599	1525
282	600	1521
283	602	1519
284	604	1516
285	605	1512
286	607	1509
287	609	1505
288	610	1501
289	611	1497
290	613	1494
291	614	1490
292	616	1487
293	617	1483
294	619	1480
295	621	1477
296	622	1473
297	624	1470
298	625	1467
299	627	1463
300	629	1461
301	630	1458
302	632	1454
303	633	1451
304	635	1448
305	636	1444
306	638	1440
307	639	1437
308	641	1434
309	643	1431
310	644	1428
311	646	1424
312	647	1421
313	649	1418
314	650	1415
315	652	1411
316	653	1408
317	655	1405
318	656	1402
319	658	1399
320	659	1395
321	661	1392
322	663	1390
323	664	1386
324	665	1383
325	667	1380
326	669	1377
327	670	1374
328	672	1371
329	673	1368
330	675	1365
331	677	1362
332	678	1359
333	680	1355
334	681	1352
335	682	1349
336	684	1346
337	685	1343
338	687	1340
339	688	1337
340	690	1333
341	691	1330
342	693	1327
343	694	1324
344	696	1321
345	697	1318
346	699	1316
347	700	1313
348	702	1310
349	703	1307
350	705	1304
351	706	1301
352	708	1298
353	710	1295
354	711	1292
355	712	1289
356	714	1286
357	716	1284
358	717	1281
359	719	1278
360	720	1275
361	722	1273
362	723	1270
363	725	1267
364	727	1265
365	728	1262
366	730	1259
367	731	1256
368	733	1253
369	734	1250
370	735	1247
371	737	1245
372	739	1242
373	740	1239
374	741	1236
375	743	1234
376	745	1231
377	746	1228
378	748	1225
379	749	1223
380	751	1220
381	753	1218
382	754	1215
383	755	1212
384	757	1210
385	759	1207
386	760	1204
387	762	1202
388	763	1199
389	765	1196
390	766	1194
391	768	1191
392	769	1189
393	771	1186
394	772	1183
395	774	1181
396	775	1178
397	777	1176
398	779	1173
399	780	1170
400	782	1168
401	783	1165
402	785	1163
403	786	1160
404	788	1158
405	789	1155
406	791	1153
407	793	1150
408	794	1147
409	796	1145
410	797	1143
411	799	1140
412	800	1137
413	802	1135
414	803	1132
415	805	1130
416	806	1127
417	808	1125
418	809	1122
419	811	1120
420	812	1118
421	814	1115
422	816	1113
423	817	1111
424	819	1108
425	820	1105
426	822	1103
427	823	1101
428	825	1098
429	826	1095
430	828	1093
431	829	1090
432	831	1088
433	832	1085
434	834	1083
435	835	1081
436	837	1078
437	838	1076
438	840	1073
439	841	1071
440	843	1068
441	844	1066
442	846	1064
443	847	1061
444	849	1058
445	850	1056
446	852	1054
447	853	1051
448	855	1049
449	856	1046
450	857	1044
451	859	1042
452	861	1039
453	862	1037
454	864	1035
455	865	1032
456	867	1030
457	868	1028
458	870	1025
459	871	1023
460	873	1020
461	874	1018
462	876	1016
463	877	1013
464	879	1011
465	880	1009
466	882	1007
467	884	1004
468	885	1002
469	887	1000
470	888	998
471	890	996
472	892	994
473	893	991
474	895	989
475	897	987
476	898	985
477	900	983
478	901	980
479	903	978
480	905	976
481	906	974
482	908	972
483	909	970
484	911	967
485	912	965
486	914	963
487	916	961
488	917	958
489	919	956
490	920	954
491	922	952
492	923	950
493	925	948
494	927	945
495	928	943
496	930	941
497	931	939
498	933	937
499	935	935
500	937	933
501	938	931
502	940	929
503	942	927
504	944	925
505	945	923
506	947	921
507	949	919
508	950	916
509	952	914
510	953	912
511	955	910
512	956	908
513	958	905
514	959	903
515	961	901
516	962	899
517	964	897
518	965	895
519	967	893
520	968	890
521	970	888
522	972	886
523	973	884
524	975	882
525	976	880
526	978	878
527	979	876
528	981	874
529	983	871
530	984	869
531	986	867
532	987	865
533	989	863
534	991	861
535	992	859
536	994	857
537	996	855
538	997	853
539	999	851
540	1001	849
541	1003	847
542	1004	845
543	1006	843
544	1008	841
545	1010	839
546	1011	837
547	1013	835
548	1014	833
549	1017	832
550	1018	830
551	1020	828
552	1022	826
553	1024	824
554	1025	822
555	1027	820
556	1028	818
557	1031	816
558	1032	814
559	1034	812
560	1036	810
561	1038	809
562	1039	806
563	1041	804
564	1042	802
565	1044	801
566	1046	799
567	1048	797
568	1049	795
569	1051	793
570	1053	791
571	1054	789
572	1056	787
573	1058	785
574	1060	783
575	1061	781
576	1063	779
577	1065	777
578	1066	775
579	1069	774
580	1070	772
581	1072	770
582	1073	768
583	1075	766
584	1077	764
585	1079	762
586	1080	760
587	1082	758
588	1083	756
589	1085	754
590	1087	752
591	1088	750
592	1090	748
593	1091	746
594	1093	744
595	1094	742
596	1096	740
597	1097	738
598	1099	736
599	1101	734
600	1102	732
601	1104	730
602	1106	728
603	1107	726
604	1109	724
605	1110	722
606	1112	720
607	1114	718
608	1115	716
609	1117	714
610	1118	712
611	1120	710
612	1122	708
613	1123	706
614	1125	704
615	1126	702
616	1128	700
617	1129	698
618	1131	696
619	1132	694
620	1134	692
621	1135	690
622	1137	688
623	1138	686
624	1140	684
625	1141	682
626	1143	680
627	1144	678
628	1146	676
629	1147	674
630	1149	671
631	1150	669
632	1152	667
633	1153	665
634	1155	663
635	1156	662
636	1158	659
637	1159	658
638	1161	656
639	1162	654
640	1164	652
641	1165	650
642	1167	648
643	1168	646
644	1170	644
645	1171	642
646	1173	640
647	1174	638
648	1176	636
649	1178	634
650	1179	632
651	1181	630
652	1182	628
653	1184	626
654	1185	624
655	1187	622
656	1188	620
657	1190	618
658	1191	616
659	1193	615
660	1195	613
661	1196	611
662	1198	609
663	1200	607
664	1201	605
665	1203	603
666	1204	601
667	1206	599
668	1207	597
669	1209	595
670	1210	593
671	1212	591
672	1214	589
673	1215	587
674	1216	585
675	1218	584
676	1220	582
677	1221	580
678	1223	578
679	1224	576
680	1226	574
681	1227	572
682	1229	570
683	1231	568
684	1232	566
685	1233	564
686	1235	562
687	1236	560
688	1238	559
689	1240	557
690	1241	555
691	1243	553
692	1244	551
693	1246	549
694	1247	547
695	1249	545
696	1251	543
697	1252	541
698	1253	539
699	1255	538
700	1257	536
701	1258	534
702	1259	532
703	1261	530
704	1262	528
705	1264	526
706	1266	524
707	1267	522
708	1269	520
709	1270	519
710	1272	517
711	1273	515
712	1275	513
713	1276	511
714	1278	509
715	1280	507
716	1281	505
717	1283	503
718	1284	502
719	1286	500
720	1287	498
721	1289	496
722	1290	494
723	1292	492
724	1293	490
725	1295	488
726	1296	487
727	1298	485
728	1299	483
729	1301	481
730	1302	479
731	1304	477
732	1305	475
733	1307	473
734	1308	471
735	1310	470
736	1311	468
737	1313	466
738	1318	465
739	1320	463
740	1322	462
741	1324	460
742	1325	458
743	1327	456
744	1328	454
745	1329	452
746	1331	450
747	1333	449
748	1334	447
749	1335	445
750	1337	443
751	1338	441
752	1340	439
753	1342	437
754	1343	436
755	1345	434
756	1346	432
757	1348	430
758	1350	428
759	1351	426
760	1352	424
761	1354	423
762	1356	421
763	1357	419
764	1359	417
765	1360	415
766	1362	413
767	1363	412
768	1365	410
769	1367	408
770	1368	406
771	1370	404
772	1371	402
773	1372	400
774	1374	398
775	1376	397
776	1377	395
777	1379	393
778	1380	391
779	1382	389
780	1383	387
781	1385	386
782	1386	384
783	1388	382
784	1390	380
785	1391	378
786	1393	377
787	1394	375
788	1396	373
789	1398	371
790	1399	369
791	1401	368
792	1402	366
793	1404	364
794	1405	362
795	1407	360
796	1409	358
797	1410	357
798	1412	355
799	1413	353
800	1414	351
801	1416	349
802	1417	347
803	1419	346
804	1421	344
805	1422	342
806	1424	340
807	1425	338
808	1427	336
809	1428	335
810	1430	333
811	1431	331
812	1433	329
813	1434	327
814	1436	326
815	1437	324
816	1439	322
817	1440	320
818	1442	318
819	1443	316
820	1445	315
821	1447	313
822	1448	311
823	1449	309
824	1451	307
825	1452	306
826	1454	304
827	1455	302
828	1457	300
829	1458	298
830	1460	296
