,lat,long
2161,52.254512,43.791163
5840,51.278061,37.509801
4587,55.143939,61.414348
2839,55.672143,36.670946
5104,53.249979,50.224978
4335,44.999446,41.12579
5643,56.335934,43.881354
2220,59.223052,39.877689
4333,51.693541,39.020516
2982,52.523838,85.181031
5541,55.039048,82.917321
1320,54.601214,39.826395
928,53.22211,44.894492
4256,54.206953,37.688081
1395,55.628439,37.407313
5398,59.920505,30.329792
3337,51.295552,37.836689
5242,55.566807,37.576385
5714,55.879995,37.548923
5356,48.468982,135.129562
5415,45.372063,41.710827
2462,51.093917,128.364017
5768,57.054817,53.987626
59,51.762709,55.111885
5713,54.411149,86.310914
523,45.090152,37.311561
1173,56.830881,60.593863
454,57.120011,65.57389
4287,52.053732,39.736438
3461,55.095678,38.763975
3647,60.044599,30.380448
295,56.82038,35.902006
3778,53.228277,44.940369
5265,56.349968,43.867017
4470,54.014898,37.514886
2111,42.779935,132.872715
844,56.243279,34.329729
4624,59.564276,150.81429
4362,56.354128,43.83263
3810,52.067636,113.391509
2913,53.233527,50.21524
3737,56.236986,43.46282
330,53.203424,50.14042
3827,53.270265,158.291139
4340,52.771268,41.414535
6187,43.092893,131.969342
1952,53.202756,45.152524
3036,50.565569,36.568196
6044,55.975254,37.906893
1544,55.794067,49.169098
6100,55.739696,37.615407
1360,45.02396,39.043935
3745,51.737936,36.192368
4450,55.351503,86.079472
727,64.549409,40.569904
2671,53.300315,50.367676
6162,43.671371,40.297543
858,46.364277,48.0443
978,51.654757,39.189417
3488,54.96408,82.936069
1338,54.773605,32.058034
4073,55.923549,37.757081
974,56.039057,92.916738
661,53.779889,87.291254
873,46.347228,48.055026
2271,45.062178,38.9946
3362,57.119317,65.578938
1355,56.230107,43.453819
5631,56.86244,53.286365
5908,56.839036,60.560365
2905,56.017674,92.820232
392,54.989254,73.461017
3394,55.149532,61.411133
2135,43.116108,133.111937
4940,53.23917,50.238462
2627,51.701362,94.411751
3966,55.682549,37.722927
2752,43.117958,131.885691
112,52.540672,85.22168
2341,43.671371,40.297543
133,52.00588,106.864125
5306,64.543696,40.567891
5108,43.235416,46.577701
4398,56.212394,43.820296
5332,48.79871,44.745785
3377,53.21682,44.982114
5734,52.933223,158.400006
5070,54.997724,73.282701
430,43.801222,131.936464
4701,52.257196,43.786789
842,43.44714,39.903704
1407,55.773449,49.230408
198,48.771273,44.564092
805,50.589073,137.059817
1193,58.530149,31.271164
1253,55.789315,37.747927
3953,43.76378,132.011249
1583,56.868797,53.222378
576,56.270066,43.892493
4795,61.243575,46.642793
4928,59.851801,30.318913
3356,53.628998,55.941255
2843,54.62957,39.709695
4773,59.816332,29.843696
5655,55.833814,52.029352
586,53.228277,44.940369
4451,54.991589,73.368859
53,54.358775,48.852236
5425,54.971471,73.382172
529,54.758454,32.110792
4469,55.685432,37.570123
5682,55.947812,37.499381
3539,55.64192,37.523456
2608,62.025583,129.721362
3436,51.65521,103.717075
2419,48.713922,44.511963
4045,45.014059,39.050376
4915,55.747363,37.707098
2133,53.180792,48.521503
2118,55.742002,52.37365
5140,55.741733,49.221183
980,56.118028,40.363066
5950,45.071466,39.0044
2870,57.812941,28.307576
4989,46.95694,142.735373
2871,56.299056,44.066425
2716,55.833602,37.297718
1449,56.031553,92.775766
3428,53.603087,34.333871
4228,43.83578,131.940614
2778,51.667021,39.205884
4879,51.706687,94.430202
406,55.988575,92.939053
3843,53.185994,43.998342
4553,58.050088,38.833604
3538,43.114621,131.909083
4955,64.550422,39.78562
5339,53.335253,83.77541
5671,53.206434,50.121681
1677,55.023831,73.300632
2066,51.503074,45.959741
569,55.925102,37.754224
3885,55.377567,91.611136
2431,51.698554,94.40769
3784,57.188314,39.428324
4632,50.362553,129.098327
2428,50.545218,137.020461
5789,55.809231,37.636392
1992,50.563663,36.57232
5018,59.935958,30.317674
