atm_group;lat;long;n_mall_100;n_mall_300;n_bank_100;n_bank_300;n_department_store_100;n_department_store_300;n_station_100;n_station_300;n_alcohol_100;n_alcohol_300;n_police_100;n_police_300;n_university_100;n_university_300;n_railway_station_100;n_railway_station_300;population;subject;salary;target
5478;52.47595;44.218007;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;31475;пензенская область;32014.6;-0.0826405026443332
5478;57.685748;39.765157;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1440;ярославская область;35357.2;-0.0366229890366375
8083;55.605902;37.71813;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;3964;московская область;54939.5;0.1926919719735759
496;62.033259;129.736382;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;318768;республика саха (якутия);70063.0;-0.0642932974491817
8083;53.24659;50.235228;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;7228;самарская область;36266.9;0.1553914053104694
5478;58.050088;38.833604;0;0;8;2;1;0;0;0;1;0;0;0;0;0;0;0;193341;ярославская область;35357.2;-0.050961838759592
5478;56.873544;53.277579;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;648944;удмуртская республика;33785.9;0.0024791376157471
5478;56.18448;36.984314;0;0;1;1;0;0;0;0;3;0;0;0;0;0;0;0;52944;московская область;54939.5;-0.0228311065112514
3185;57.173752;65.558322;0;0;4;1;1;1;0;0;0;0;0;0;0;0;0;0;744554;тюменская область;46342.7;-0.059348342258982
1942;47.54;42.207164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;171471;ростовская область;33872.7;0.0414098317297412
1942;52.733119;103.657948;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;76846;иркутская область;45856.1;0.0073442445071814
5478;55.069638;82.940956;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1618039;новосибирская область;38968.9;-0.0217700413066039
5478;45.433978;40.577198;1;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;78631;краснодарский край;36101.1;-0.059887707093963
5478;69.357627;88.186246;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;175365;красноярский край;48725.4;0.0276483090203254
8083;53.529819;49.298689;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2407;самарская область;36266.9;0.1506404563395686
5478;55.809231;37.636392;0;0;9;3;0;0;1;0;2;0;0;0;0;0;0;0;12380664;москва;89128.6;0.0130203642186026
8083;56.476413;84.985315;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;575352;томская область;42725.9;0.1711529722451342
8083;55.989466;37.226329;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4038;московская область;54939.5;0.1114643869268572
5478;56.047414;92.913181;0;0;5;0;0;0;0;0;1;0;0;0;0;0;0;0;3786;красноярский край;48725.4;-0.0572450666164408
3185;55.776502;37.53711;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;12380664;москва;89128.6;0.0621392337408641
1022;55.778866;49.129573;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1205651;республика татарстан;37708.0;-0.0532111009650682
5478;59.941615;30.351693;0;0;7;0;0;0;0;0;9;0;0;0;2;0;0;0;5225690;санкт-петербург;62223.8;-0.0787994119315501
3185;58.241999;68.275923;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;103019;тюменская область;46342.7;-0.0248318247347081
